key;Bienfaits pour la Santé;Bienfaits Cardiometaboliques;Sources_classiques;Fruits et légumes;Fruits à coque;Féculents et produits céréaliers;Légumineuses;Produits laitiers;Volaille et œufs;Viandes;Poissons et fruits de mer;Matières grasses;Produits sucrés, gras, salés et/ou ultra-transformés
nutr_vita;Essentielle pour la vision et la fonction immunitaire. <br> - Soutient la croissance et la différenciation des cellules. <br> - Importante pour la santé de la peau et des muqueuses.;Peut aider à réduire le stress oxydatif et l'inflammation, potentiellement réduisant le risque de maladies cardiovasculaires.;Foie, poisson, lait, œufs, légumes verts, carottes, patates douces, épinards.;Carottes, patates douces, courges, citrouilles, épinards, chou frisé, brocoli, blettes, mangues, abricots, pêches, melons cantaloups;;;;Lait entier, fromage, beurre;Jaune d'œuf;Foie;Poissons gras (saumon, thon, maquereau);;
nutr_vitb1;Essentielle pour le métabolisme des glucides et la production d'énergie. <br> - Soutient la fonction nerveuse et la contraction musculaire. <br> - Joue un rôle dans le bon fonctionnement du cœur, des muscles et du système digestif.;Une carence peut entraîner le béribéri, qui affecte le système cardiovasculaire. <br> - Cruciale pour le métabolisme du glucose. <br> - Peut améliorer la fonction cardiaque et réduire le risque d'insuffisance cardiaque.;Céréales complètes, produits céréaliers enrichis, légumineuses, graines et noix.;;;Grains entiers et produits céréaliers enrichis;Haricots, lentilles;;;Porc;Poisson;;
nutr_vitb2;Importante pour la production d'énergie et le métabolisme des graisses, des médicaments et des stéroïdes. <br> - Soutient la vision et la santé de la peau.;Aide à maintenir des niveaux sains d'homocystéine. <br> - Agit comme antioxydant, protégeant contre le stress oxydatif et les maladies cardiovasculaires.;Produits laitiers, œufs, viande maigre, légumes verts feuillus, céréales enrichies et grains.;Champignons, épinards;Amandes;Céréales enrichies;;Lait et produits laitiers;Œufs;Foie, viandes maigres;;;
nutr_vitb3;Essentielle pour la réparation de l'ADN et la production d'hormones stéroïdes. <br> - Soutient la santé de la peau et la fonction digestive.;Améliore les profils lipidiques en abaissant le cholestérol LDL et en augmentant le cholestérol HDL. <br> - Peut réduire l'athérosclérose et améliorer la fonction endothéliale.;Viande et volaille, poisson, céréales complètes et enrichies, noix et graines, légumineuses.;;;Grains entiers et céréales enrichies;Légumineuses;;;Viande (poulet, bœuf);Poissons (thon, saumon);;
Vitamine B5 (Acide pantothénique);Essentielle pour la synthèse des coenzymes impliquées dans le métabolisme des glucides, des graisses et des protéines. <br> - Joue un rôle dans la production de neurotransmetteurs, de stéroïdes et de l'hémoglobine.;Peut aider à réduire le stress oxydatif et l'inflammation. <br> - Peut améliorer la fonction cardiaque et réduire le risque de maladies cardiovasculaires.;Champignons, avocats, brocoli, patates douces, céréales complètes, légumineuses, œufs, viandes;Champignons, avocats, brocoli, patates douces;;Céréales complètes;Légumineuses;;Œufs;Viandes;;;
nutr_vitb6;Essentielle pour le métabolisme des acides aminés et la synthèse des neurotransmetteurs. <br> - Soutient la fonction immunitaire et la production d'hémoglobine. <br> - Joue un rôle dans le développement cognitif et la fonction nerveuse.;Réduit les niveaux d'homocystéine, abaissant le risque cardiovasculaire. <br> - Propriétés anti-inflammatoires qui peuvent réduire l'athérosclérose. <br> - Important pour maintenir des niveaux de tension artérielle et une fonction cardiaque saine.;Volaille, poisson, abats, pommes de terre et légumes amylacés, fruits non-citrus.;Pois chiches, bananes, pommes de terre;Noix;;;;Poulet;Bœuf, volaille;Poisson (saumon, thon);;
Vitamine B7 (Biotine);Soutient le métabolisme des glucides, des graisses et des protéines. <br> - Importante pour maintenir des cheveux, une peau et des ongles en bonne santé. <br> - Impliquée dans la régulation des gènes et la signalisation cellulaire.;Aide à réguler la glycémie, réduisant ainsi potentiellement le risque de diabète. <br> - Soutient le métabolisme, crucial pour la santé cardiovasculaire.;Jaune d'œuf, foie, levure, noix (en particulier les amandes), soja et autres légumineuses.;Chou-fleur;Noix, graines;;Légumineuses;;Jaune d'œuf;Foie;;;
nutr_vitb9;Essentielle pour la synthèse de l'ADN et la division cellulaire. <br> - Importante pour la production des globules rouges et le bon déroulement des cycles cellulaires. <br> - Cruciale pendant les périodes de croissance rapide, comme la grossesse et l'enfance.;Réduit les niveaux d'homocystéine, réduisant le risque cardiovasculaire. <br> - Soutient la santé endothéliale et aide à prévenir l'athérosclérose. <br> - Une carence en folates est liée à un risque accru d'accident vasculaire cérébral et de maladies cardiaques.;Légumes verts feuillus (épinards, chou frisé), agrumes et leurs jus, haricots et légumineuses, foie, céréales enrichies et pain.;Épinards, brocoli, avocats, agrumes;;;Légumineuses;;;Foie;;;
nutr_vitb12;Essentielle pour la formation des globules rouges et la fonction neurologique. <br> - Importante pour la synthèse de l'ADN et la production d'énergie. <br> - Soutient la santé cérébrale et la fonction cognitive.;Réduit les niveaux d'homocystéine, réduisant le risque cardiovasculaire. <br> - Soutient la santé nerveuse et réduit le risque d'athérosclérose. <br> - Important pour maintenir des cellules nerveuses en bonne santé.;Viande et volaille, produits laitiers, poisson et fruits de mer, œufs, céréales enrichies et produits nutritionnels.;;;;;Lait et produits laitiers;Œufs;Viandes (bœuf, agneau), foie;Poissons (sardines, saumon);;
nutr_vitc;Puissante antioxydante. <br> - Importante pour la synthèse du collagène et la cicatrisation des plaies. <br> - Améliore l'absorption du fer.;Réduit le stress oxydatif et l'inflammation. <br> - Peut abaisser la tension artérielle et améliorer la fonction endothéliale.;Agrumes (oranges, pamplemousses, citrons), baies (fraises, framboises), poivrons, brocoli, choux de Bruxelles, pommes de terre, tomates.;Agrumes (oranges, pamplemousses), fraises, poivrons rouges et verts, brocoli, choux de Bruxelles;;;;;;;;;
nutr_vitd;Cruciale pour l'absorption du calcium et la santé des os. <br> - Soutient la fonction immunitaire.;Peut améliorer la sensibilité à l'insuline et réduire le risque de diabète. <br> - Liée à une meilleure santé cardiovasculaire, potentiellement réduisant l'hypertension et le risque de maladies cardiaques.;Poissons gras (saumon, maquereau, sardines), huile de foie de poisson, produits laitiers et produits à base de plantes enrichis, exposition au soleil (synthèse UVB).;Champignons exposés à la lumière UV;;;;Lait enrichi;Œufs (jaune);Foie de morue;Poissons gras (saumon, maquereau, sardines);;
nutr_vite;Agit comme antioxydant, protégeant les cellules des dommages. <br> - Soutient la fonction immunitaire et la santé de la peau.;Peut aider à prévenir l'athérosclérose en réduisant les dommages oxydatifs et l'inflammation. <br> - Peut améliorer la fonction endothéliale et réduire l'oxydation du LDL.;Huiles végétales (tournesol, carthame, germe de blé), noix (amandes, graines de tournesol), légumes verts feuillus (épinards, brocoli), céréales enrichies, œufs.;Épinards, brocoli;Amandes, noisettes;;;;;Foie;;Huiles végétales (tournesol, safran, germe de blé);
Vitamine K;Essentielle pour la coagulation sanguine. <br> - Contribue à la santé des os en régulant le métabolisme du calcium.;Peut aider à prévenir les calcifications artérielles. <br> - Peut réduire le risque de maladies cardiovasculaires.;Chou frisé, épinards, brocoli, choux de Bruxelles, avocats, foie;Chou frisé, épinards, brocoli, choux de Bruxelles, avocats;;;;;;Foie;;;
Calcium;Essentiel pour la formation et le maintien des os et des dents. <br> - Crucial pour la coagulation sanguine, la contraction musculaire et la fonction nerveuse. <br> - Important pour l'activité enzymatique et la sécrétion hormonale.;Régule la contraction des vaisseaux sanguins et la dilatation, influençant la tension artérielle. <br> - Apport adéquat associé à une réduction de l'hypertension. <br> - Peut réduire le risque de maladies cardiovasculaires lorsqu'il est consommé en quantités appropriées.;Produits laitiers (lait, fromage, yaourt), légumes verts feuillus (chou frisé, brocoli), produits à base de plantes enrichis et jus, sardines et saumon (avec les arêtes).;Épinards, brocoli, chou frisé;Amandes;Céréales enrichies;Légumineuses;Lait et produits laitiers;Œufs;;Sardines;;
Fer;Essentiel pour la formation de l'hémoglobine et la production de globules rouges. <br> - Soutient la fonction immunitaire et le développement cognitif.;Prévient l'anémie, réduisant le stress cardiovasculaire. <br> - Impliqué dans la production d'énergie, essentiel pour la croissance et le développement.;Viande rouge et volaille, poisson et fruits de mer, lentilles et haricots, céréales et pains enrichis, épinards.;Épinards, lentilles, pois chiches;Amandes;Céréales enrichies;Légumineuses;;Œufs;Viandes rouges, foie;Moules, palourdes;;
Magnésium;Essentiel pour plus de 300 réactions biochimiques. <br> - Soutient la fonction musculaire et nerveuse. <br> - Important pour la santé cardiaque et osseuse.;Régule la pression sanguine et maintient la santé cardiaque. <br> - Apport adéquat associé à un risque réduit d'hypertension et d'accidents vasculaires cérébraux. <br> - Peut améliorer la sensibilité à l'insuline et réduire le risque de diabète de type 2.;Noix et graines (amandes, noix de cajou), légumes verts feuillus (épinards, chou frisé), céréales complètes.;Épinards, avocats, bananes;Amandes, noix de cajou;Céréales complètes;Légumineuses;;;Viandes;Saumon, maquereau;;
Phosphore;Essentiel pour la formation des os et des dents. <br> - Clé dans la production et le stockage de l'énergie. <br> - Important pour la synthèse de l'ADN et des ARN.;Régule l'équilibre acido-basique dans le sang. <br> - Soutient la fonction musculaire et la contraction cardiaque. <br> - Les déséquilibres peuvent affecter la santé cardiovasculaire.;Viande et volaille, poisson, œufs, produits laitiers, noix et graines, céréales complètes.;Brocoli, pois;Amandes;Céréales complètes;Légumineuses;Lait et produits laitiers;Œufs;Viandes;Poissons;;
Potassium;Maintient l'équilibre hydrique et électrolytique normal. <br> - Soutient la fonction musculaire et nerveuse. <br> - Important pour la fonction cellulaire et le métabolisme.;Aide à réguler la pression sanguine en contrebalançant les effets du sodium. <br> - Apport adéquat associé à un risque réduit d'hypertension et d'accidents vasculaires cérébraux. <br> - Soutient la santé cardiaque et réduit le risque de maladies cardiovasculaires.;Fruits (bananes, oranges), légumes (pommes de terre, épinards), légumineuses, produits laitiers.;Bananes, oranges, pommes de terre, épinards;Amandes;;Légumineuses;Lait et produits laitiers;;Viandes;Poissons;;
Sodium;Essentiel pour l'équilibre hydrique et électrolytique. <br> - Important pour la transmission nerveuse et la fonction musculaire. <br> - Joue un rôle dans l'absorption des nutriments et le transport.;Nécessaire en petites quantités, mais une consommation excessive peut entraîner une hypertension et augmenter le risque cardiovasculaire. <br> - Régule le volume sanguin et la pression artérielle.;Sel de table, produits transformés, aliments en conserve et soupes, collations salées, viandes transformées et séchées.;Épinards, céleri;;Pain, céréales transformées;;Fromage;Œufs;Jambon, bacon, saucisses;Poissons en conserve, fruits de mer;Beurre salé;Chips, snacks salés, plats préparés, sauces, soupes en conserve
Zinc;Essentiel pour la fonction immunitaire et la cicatrisation des plaies. <br> - Impliqué dans la synthèse de l'ADN, la division cellulaire et la synthèse des protéines. <br> - Soutient la croissance et le développement global.;Agit comme antioxydant, protégeant contre les dommages oxydatifs. <br> - Impliqué dans le métabolisme de l'insuline et la synthèse des protéines. <br> - Soutient la santé vasculaire et peut réduire le risque d'athérosclérose.;Viande et volaille, fruits de mer, haricots, noix et graines, produits laitiers.;Épinards, pois chiches;Noix de cajou;Céréales enrichies;Légumineuses;;Œufs;Viandes rouges;Huîtres;;
